date,canton,C1_oxford_school_closing,school_primary_secondary,school_highschool,school_university,C2_oxford_workplace_closing,home_office_recommended,leisure,sport,shops,hairdressers,church,restaurants,restaurants_tablesize,clubs,clubs_npeople,C3_oxford_cancel_public_events,C4_oxford_restrictions_on_gatherings,public_events_npeople,gatherings_npeople,C5_oxford_close_public_transport,C6_oxford_stay_at_home,C7_oxford_restriction_internal_movement,C8_oxford_international_travel_control,H1_oxford_public_info_campaigns,H2_oxford_testing_policy,H3_oxford_contact_tracing,H6_oxford_facial_coverings,facial_coverings_shops,facial_coverings_public_buildings,facial_coverings_schools,oxford_containment_health
2020-01-01,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-02,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-03,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-04,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-05,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-06,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-07,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-08,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-09,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-10,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-11,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-12,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-13,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-14,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-15,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-16,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-17,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-18,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-19,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-20,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-21,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-22,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-23,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-24,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-25,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-26,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-27,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-28,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-29,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-30,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-01-31,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-01,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-02,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-03,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-04,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-05,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-06,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-07,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-08,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-09,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-10,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-11,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-12,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-13,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-14,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,0,0,no,no,no,0
2020-02-15,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-16,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-17,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-18,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-19,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-20,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-21,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-22,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-23,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,0,1,0,no,no,no,4.16666666666667
2020-02-24,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,0,0,,,0,0,0,0,0,2,1,0,no,no,no,9.72222222222222
2020-02-25,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,0,,,0,0,0,0,0,2,1,0,no,no,no,18.0555555555556
2020-02-26,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,0,,,0,0,0,0,0,2,1,0,no,no,no,18.0555555555556
2020-02-27,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,0,,,0,0,0,0,1,2,1,0,no,no,no,22.2222222222222
2020-02-28,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,1,2,1,0,no,no,no,24.3055555555556
2020-02-29,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,1,2,1,0,no,no,no,24.3055555555556
2020-03-01,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,1,2,1,0,no,no,no,24.3055555555556
2020-03-02,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,1,2,1,0,no,no,no,24.3055555555556
2020-03-03,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,2,1,0,no,no,no,28.4722222222222
2020-03-04,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,2,1,0,no,no,no,28.4722222222222
2020-03-05,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,2,1,0,no,no,no,28.4722222222222
2020-03-06,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,2,1,0,no,no,no,28.4722222222222
2020-03-07,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-08,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-09,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-10,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-11,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-12,CH,0,open,open,open,0,no,open,open,open,open,open,open,,open,,2,1,1000,,0,0,0,0,2,1,1,0,no,no,no,25.6944444444444
2020-03-13,CH,3,closed,closed,closed,1,no,open,open,open,open,open,open_with_measures,,open_with_measures,50,2,2,100,,0,0,0,0,2,1,1,0,no,no,no,38.8888888888889
2020-03-14,CH,3,closed,closed,closed,1,no,open,open,open,open,open,open_with_measures,,open_with_measures,50,2,2,100,,0,0,0,0,2,1,1,0,no,no,no,38.8888888888889
2020-03-15,CH,3,closed,closed,closed,1,no,open,open,open,open,open,open_with_measures,,open_with_measures,50,2,2,100,,0,0,0,0,2,1,1,0,no,no,no,38.8888888888889
2020-03-16,CH,3,closed,closed,closed,1,no,open,open,open,open,open,open_with_measures,0,closed,0,2,2,100,,0,0,0,0,2,1,1,0,no,no,no,38.8888888888889
2020-03-17,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-18,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-19,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-20,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-21,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-22,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-23,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-24,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-25,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-26,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-27,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-28,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-29,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-30,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-03-31,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-01,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-02,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-03,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-04,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-05,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-06,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-07,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-08,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-09,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-10,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-11,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-12,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-13,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-14,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-15,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-16,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-17,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-18,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-19,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-20,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-21,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-22,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-23,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-24,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-25,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-26,CH,3,closed,closed,closed,3,yes,closed,closed,closed,closed,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,68.0555555555555
2020-04-27,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-04-28,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-04-29,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-04-30,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-01,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-02,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-03,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-04,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-05,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-06,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-07,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-08,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-09,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-10,CH,3,closed,closed,closed,2,yes,closed,closed,closed,open_with_measures,closed,closed,0,closed,0,2,4,0,5,1,1,1,4,2,1,1,0,no,no,no,65.2777777777778
2020-05-11,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-12,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-13,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-14,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-15,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-16,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-17,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
2020-05-18,CH,2,open_with_measures,closed,closed,2,yes,closed,open_with_measures,open_with_measures,open_with_measures,closed,open_with_measures,4,closed,0,2,4,0,5,1,1,1,4,2,2,2,0,no,no,no,69.4444444444444
