date,canton,C1_oxford_school_closing,school_primary_secondary,school_highschool,school_university,C2_oxford_workplace_closing,home_office_recommended,leisure,sport,shops,hairdressers,church,restaurants,restaurants_tablesize,clubs,clubs_npeople,C3_oxford_cancel_public_events,C4_oxford_restrictions_on_gatherings,public_events_npeople,gatherings_npeople,C5_oxford_close_public_transport,C6_oxford_stay_at_home,C7_oxford_restriction_internal_movement,C8_oxford_international_travel_control,H1_oxford_public_info_campaigns,H2_oxford_testing_policy,H3_oxford_contact_tracing,H6_oxford_facial_coverings,facial_coverings_shops,facial_coverings_public_buildings,facial_coverings_schools,oxford_containment_health
2020-08-03,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-04,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-05,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-06,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-07,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-08,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-09,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-10,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-11,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-12,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-13,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-14,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-15,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-16,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-17,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-18,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-19,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-20,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-21,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-22,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-23,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-24,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-25,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-26,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-27,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-28,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-29,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-30,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-08-31,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-01,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-02,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-03,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-04,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-05,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-06,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-07,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-08,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-09,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-10,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-11,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-12,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-13,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-14,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-15,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-16,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-17,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,3,2,2,no,no,no,46.5277777777778
2020-09-18,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-19,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-20,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-21,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-22,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-23,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-24,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-25,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-26,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-27,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-28,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-29,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-09-30,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,2,1,1000,,0,0,0,2,2,2,2,2,no,no,no,43.75
2020-10-01,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-02,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-03,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-04,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-05,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-06,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-07,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-08,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-09,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-10,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-11,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-12,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-13,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-14,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
2020-10-15,CH,1,open_with_measures,open_with_measures,open_with_measures,0,no,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,open_with_measures,,open_with_measures,300,1,0,,,0,0,0,2,2,2,2,2,no,no,no,37.5
